Algorithm,Array Size,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Time (microseconds), Hue
Bubble Comb Sort Optimised,1500,111,114,113,113,116,117,113,111,111,111,113,Optimised
Std Sort,1500,209,212,210,209,216,217,209,206,210,228,212.6,Optimised
Insertion Sort,2000,1069,1048,1048,1051,1200,1048,1065,1048,1425,1067,1106.9,UnOptimised
Insertion Sort Optimised,2000,1078,1081,1079,1081,1102,1192,1104,2042,1603,1091,1245.3,Optimised
Shell Sort,2000,67,67,68,68,69,67,69,80,76,68,69.9,UnOptimised
Shell Sort Optimised ,2000,97,99,98,97,101,100,98,112,114,97,101.3,Optimised
Rubix Sort,2000,1828,1917,1847,1955,2252,1837,1920,2315,1937,2239,2004.7,UnOptimised
Rubix Sort Optimised ,2000,168,168,173,169,175,167,176,216,172,168,175.2,Optimised
Bitwise Optimised Rubix Sort,2000,248,247,255,251,256,248,265,319,261,252,260.2,Optimised
Bitwise Optimised Vector Rubix Sort,2000,259,259,261,259,258,261,257,322,291,259,268.6,Optimised
Quick Sort,2000,128,128,129,127,128,129,129,159,131,129,131.7,UnOptimised
Quick Sort Optimised,2000,11,11,11,11,11,11,11,14,11,11,11.3,Optimised
Bubble Sort,2000,4924,4637,4957,4889,5452,4908,5115,4500,5753,5077,5021.2,UnOptimised
Bubble Sort Optimised ,2000,4665,4610,4678,4625,5266,4643,4581,4656,4637,4604,4696.5,Optimised
Bubble Comb Sort Optimised,2000,160,160,160,159,162,162,161,160,160,160,160.4,Optimised
Std Sort,2000,291,295,293,291,292,292,306,291,292,309,295.2,Optimised
Insertion Sort,2500,2106,1678,1808,1681,1719,2169,1677,1919,1848,1715,1832,UnOptimised
Insertion Sort Optimised,2500,2760,2167,2119,1711,1637,1856,1651,1635,1682,1728,1894.6,Optimised
Shell Sort,2500,95,94,94,96,93,118,95,97,102,99,98.3,UnOptimised
Shell Sort Optimised ,2500,129,128,129,131,132,132,140,131,131,137,132,Optimised
Rubix Sort,2500,2278,2276,2433,2420,2275,2486,2349,2630,2289,2427,2386.3,UnOptimised
Rubix Sort Optimised ,2500,212,218,211,212,214,209,209,211,209,217,212.2,Optimised
Bitwise Optimised Rubix Sort,2500,310,320,310,311,318,361,309,313,310,311,317.3,Optimised
Bitwise Optimised Vector Rubix Sort,2500,318,386,378,319,320,486,319,316,319,319,348,Optimised
Quick Sort,2500,162,160,162,164,164,165,163,169,161,162,163.2,UnOptimised
